Problem Type,Question,Correctness 1,Correctness 2,Correctness 3,Correctness 4,Correctness 5,Correctness 6,Correctness 7,Correctness 8,Correctness 9,Correctness 10,
Bucket,Is 0.2 bigger or smaller than 0.22? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sequence,How do you figure how much a sequence is changing by?,1,1,1,1,1,1,1,1,1,1,
Sequence,The next number in the pattern can be found by adding 17.6 + 4.4. What is the answer and how do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is 9.2111 bigger or smaller than 9.222? How do you know?,1,1,1,1,1,0,0,0,1,0,
Number Line,Is 0.042 closer to 0 or closer to 0.5? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is 1.0111 bigger or smaller than 1.1? How do you know?,1,0,0,0,1,0,1,1,1,1,"Note: can properly identify the larger number, but cannot properly explain why"
Sequence,What should you remember to find the next number in the sequence?,1,1,1,1,1,1,1,1,1,1,
Sequence,When should you carry? How do you know?,1,1,1,1,1,1,1,1,1,1,
Addition,What should you do whenever there is more than 10 in any column? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is 1.05 bigger or smaller than 1.2215? How do you know?,1,1,1,1,1,1,1,1,1,1,"Note: for this type of question, GPT divides the number between a whole number and the 'fractional part' and simply identifies one fractional part as larger than the other while the whole numbers are the same. This isn't an ideal way to give an answer, but I ultimately label it as correct (I would prefer greater granularity to the decimal place)"
Number Line,Is 0.579 to the left of 0 or to the right of 0 on the number line? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is 1.6452 bigger or smaller than 1.29? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is 0.1112 bigger or smaller than 0.03? How do you know?,1,1,1,1,1,1,1,1,1,1,
Addition,"When adding two decimal numbers, how should you line up the numbers and add them?",1,1,1,1,1,1,1,1,1,1,
Bucket,Is 1.4 bigger or smaller than 1.51? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is -8.517 bigger or smaller than 8.5? How do you know?,1,1,1,1,1,1,1,1,1,1,
Number Line,Is 0.111 to the left of 0 or to the right of 0 on the number line? How do you know?,1,1,1,1,1,1,1,1,1,1,
Bucket,Is -1.701 bigger or smaller than -1.7? How do you know?,1,1,1,1,1,1,1,1,1,1,
Number Line,Is 0.456 to the left of 0 or to the right of 0 on the number line? How do you know?,1,1,1,1,1,1,1,1,1,1,
Number Line,Is -0.07 closer to 0 or closer to -1? How do you know?,1,1,1,1,1,1,1,1,1,1,
Bucket,Is 0.32 bigger or smaller than -0.519? How do you know?,1,1,1,1,1,1,1,1,1,1,
Number Line,Is 0.091 closer to 0 or closer to 1? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is 6.5 bigger or smaller than 6.41? How do you know?,1,1,1,1,1,1,1,1,1,1,
Sorting,Is -0.9 bigger or smaller than 0.6? How do you know?,1,1,1,1,1,1,1,1,1,1,
